channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link
SK스토아	20260704	00:31	01:31	60	[용량 업! 방송에서만 10박스 더!]유기농 레몬즙 20+10박스(22g*10포*30박스/300포) | 원산지 : 상품정보 참조	유기농	[용량 업! 방송에서만 10박스 더!]유기농 레몬즙 20+10박스(22g*10포*30박스/300포) | 원산지 : 상품정보 참조	단순	00:31	01:31	60	24948000	건강식품	식품	198000	https://www.skstoa.com/display/goods/62693567
쇼핑엔티	20260704	00:32	01:32	60	닥터벨트 에어핏 척추견인 근육통완화 의료기기	닥터벨트	닥터벨트 에어핏 척추견인 근육통완화 의료기기	단순	00:32	01:32	60	31218000	가전	디지털/가전	129000	https://www.shoppingntmall.com/display/goods/24285359
KT알파쇼핑	20260704	00:37	01:38	61	르투아_슬리브리스+썸머팬츠(26SS)	26SS	르투아_슬리브리스+썸머팬츠(26SS)	단순	00:37	01:38	61	47922000	의류	패션의류	49000	https://m.kshop.co.kr/display/product/8875195
신세계쇼핑	20260704	00:37	01:38	61	[론칭가 89,900원→2만원↓] 블루핏 NEW 썸머 와이드 데님 3종 	블루핏	[론칭가 89,900원→2만원↓] 블루핏 NEW 썸머 와이드 데님 3종 	복합	00:37	01:38	61	76129800		패션의류	69900	https://www.shinsegaetvshopping.com/display/detail/20070837
GS홈쇼핑 마이샵	20260704	00:38	01:39	61	기펠 진공 흡착 BLDC 핸디 스타일러	기펠	기펠 진공 흡착 BLDC 핸디 스타일러	단순	00:38	01:39	61	17967000		디지털/가전	159000	https://www.gsshop.com/prd/prd.gs?prdid=1112089089&brddate=20260707021000&pgmID=872&ordChannel=WE&tveshop=Y
현대홈쇼핑 플러스샵	20260704	00:40	01:40	60	[TEDDY CREW] 테디크루 26SS 여성 나일론 웨더자켓 1종(N602W)	테디크루	[TEDDY CREW] 테디크루 26SS 여성 나일론 웨더자켓 1종(N602W)	단순	00:40	01:40	60	20750600		패션의류	29900	https://www.hmall.com/md/pda/itemPtc?slitmCd=2249662119
롯데원티비	20260704	00:40	02:00	80	[피플오브더월드] ○ 26SS 플레어 슬리브리스 원피스	피플오브더월드	[피플오브더월드] ○ 26SS 플레어 슬리브리스 원피스	복합	00:40	02:00	80	24108000		패션의류	59000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12904392
CJ온스타일 플러스	20260704	00:45	01:45	60	26SS 남성 썸머 자켓+베이스레이어 SET	26SS	26SS 남성 썸머 자켓+베이스레이어 SET	단순	00:45	01:45	60	23874000		패션의류	69000	https://display.cjonstyle.com/p/item/2080864948
NS홈쇼핑 샵플러스	20260704	00:45	01:46	61	마데카크림1	마데카크림1	마데카크림1	복합	00:45	01:46	61	10633500		화장품/미용	89100	https://m.nsmall.com/goods/35868573
NS홈쇼핑	20260704	01:00	02:01	61	히트상품 앵콜방송1부	히트상품	히트상품 앵콜방송1부	복합	01:00	02:01	61	27885900		디지털/가전	39900	https://m.nsmall.com/goods/35979755
홈앤쇼핑	20260704	01:00	02:00	60	(방송에서만)[제주가마당] 가시제거고등어 100g x 20팩	제주가마당	(방송에서만)[제주가마당] 가시제거고등어 100g x 20팩	단순	01:00	02:00	60	42327900	일반식품	식품	54900	http://www.hnsmall.com/display/goods.do?goods_code=57665786
롯데홈쇼핑	20260704	01:00	01:55	55	[LBL] 26SS 린넨블렌디드 크로셰 가디건+니트 SET	LBL	[LBL] 26SS 린넨블렌디드 크로셰 가디건+니트 SET	단순	01:00	01:55	55	31934800	의류	패션의류	99000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12890817
공영쇼핑	20260704	01:00	02:00	60	참진한 야생 지리산 칡즙 25포*4박스(총 100포)	참진한	참진한 야생 지리산 칡즙 25포*4박스(총 100포)	단순	01:00	02:00	60	22043500	일반식품	식품	69900	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11947507
GS홈쇼핑	20260704	01:05	02:00	55	뉴온 시서스 필 다이어트 6박스	뉴온	뉴온 시서스 필 다이어트 6박스	단순	01:05	02:00	55	72374800	건강식품	식품	199000	https://www.gsshop.com/prd/prd.gs?prdid=1102765904&brddate=20260704010500&pgmID=13352&ordChannel=WE&tveshop=Y
CJ온스타일	20260704	01:10	02:10	60	[2개] 한경희 무선 폴딩 에어써큘레이터	한경희생활과학	[2개] 한경희 무선 폴딩 에어써큘레이터	단순	01:10	02:10	60	28533000	가전	디지털/가전	248000	https://display.cjonstyle.com/p/item/2083788194?channelCode=30002002
현대홈쇼핑	20260704	01:10	02:10	60	[방송에서만 20만원 세일 전고객 사은품] 리오벨 26 풀스킨 렉스퍼 리버서블 야상 자켓	리오벨	[방송에서만 20만원 세일 전고객 사은품] 리오벨 26 풀스킨 렉스퍼 리버서블 야상 자켓	단순	01:10	02:10	60	393508000	의류	패션의류	599000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251579563&preview=true
SK스토아	20260704	01:31	02:11	40	[방송에서만 30프로 세일]레몬 하나 콜라겐 12박스(15g*14포*12박스/168포) | 원산지 : 상품정보 참조	레몬	[방송에서만 30프로 세일]레몬 하나 콜라겐 12박스(15g*14포*12박스/168포) | 원산지 : 상품정보 참조	단순	01:31	02:11	40	6013980	건강식품	식품	139860	https://www.skstoa.com/display/goods/62365968
쇼핑엔티	20260704	01:31	02:31	60	헤르젠 멀티 미니 김치냉장 냉동고+스텐김치통 2종	헤르젠	헤르젠 멀티 미니 김치냉장 냉동고+스텐김치통 2종	단순	01:31	02:31	60	19788000	가전	디지털/가전	428000	https://www.shoppingntmall.com/display/goods/28122744
KT알파쇼핑	20260704	01:37	02:38	61	아르데코_파운데이션	아르데코	아르데코_파운데이션	단순	01:37	02:38	61	34553000	잡화/주얼리	화장품/미용	109000	https://m.kshop.co.kr/display/product/8101440
신세계쇼핑	20260704	01:38	02:38	60	[론칭가 79,900원→1만원↓] 블루핏 NEW 시어니트 가디건 3종	블루핏	[론칭가 79,900원→1만원↓] 블루핏 NEW 시어니트 가디건 3종	단순	01:38	02:38	60	25303800	의류	패션의류	69900	https://www.shinsegaetvshopping.com/display/detail/20071369
GS홈쇼핑 마이샵	20260704	01:39	01:44	5	드루 26SS 여름팬츠 2종 여성용	드루	드루 26SS 여름팬츠 2종 여성용	단순	01:39	01:44	5	0		스포츠/레저	99000	https://www.gsshop.com/prd/prd.gs?prdid=1125016255&brddate=20260708023600&pgmID=12502&ordChannel=WE&tveshop=Y
현대홈쇼핑 플러스샵	20260704	01:40	02:20	40	[패밀리구성] 유기농 레몬즙 10박스+레자몽즙 6박스 (16박스 240포)	유기농	[패밀리구성] 유기농 레몬즙 10박스+레자몽즙 6박스 (16박스 240포)	단순	01:40	02:20	40	1520000		식품	190000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251321531
GS홈쇼핑 마이샵	20260704	01:44	01:50	6	타파웨어 빅티 텀블러 7종 풀세트	타파웨어	타파웨어 빅티 텀블러 7종 풀세트	단순	01:44	01:50	6	258000		생활/건강	129000	https://www.gsshop.com/prd/prd.gs?prdid=1126672652&brddate=20260704033700&pgmID=6995&ordChannel=WE&tveshop=Y
CJ온스타일 플러스	20260704	01:45	02:00	15	[런칭가 269,000원] 25 FW 캐시미어 100 루즈핏 스트링 후드 집업 1종	런칭가	[런칭가 269,000원] 25 FW 캐시미어 100 루즈핏 스트링 후드 집업 1종	단순	01:45	02:00	15	807000		패션의류	269000	https://display.cjonstyle.com/p/item/2067225536
NS홈쇼핑 샵플러스	20260704	01:45	02:00	15	자반고등어1	대사이즈	자반고등어1	단순	01:45	02:00	15	2571400		식품	29900	https://m.nsmall.com/goods/35970155
GS홈쇼핑 마이샵	20260704	01:50	02:10	20	발로쓱 실내화 2족+청소포 200장(100켤레)	발로쓱	발로쓱 실내화 2족+청소포 200장(100켤레)	단순	01:50	02:10	20	1245000		생활/건강	42000	https://www.gsshop.com/prd/prd.gs?prdid=1061094530&brddate=20260710015000&pgmID=6742&ordChannel=WE&tveshop=Y
롯데홈쇼핑	20260704	01:55	02:25	30	[루나앤슬립] ◎[K][방송에서만]기능성 냉감 패드 2장+냉감 베개커버 4장	루나앤슬립	[루나앤슬립] ◎[K][방송에서만]기능성 냉감 패드 2장+냉감 베개커버 4장	단순	01:55	02:25	30	2886200	리빙/주방	가구/인테리어	79900	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12912645
NS홈쇼핑 샵플러스	20260704	02:00	02:41	41	자반고등어2	대사이즈	자반고등어2	단순	02:00	02:41	41	7774000		식품	29900	https://m.nsmall.com/goods/35970155
CJ온스타일 플러스	20260704	02:00	02:15	15	25 FW 캐시미어 100 핸드메이드 브러쉬 비즈 가디건 1종	25	25 FW 캐시미어 100 핸드메이드 브러쉬 비즈 가디건 1종	단순	02:00	02:15	15	1396000		패션의류	349000	https://display.cjonstyle.com/p/item/2068300672
홈앤쇼핑	20260704	02:00	03:05	65	[꼼빠니아] 26SS 루미에르 레이스 후드 점퍼 1종	꼼빠니아	[꼼빠니아] 26SS 루미에르 레이스 후드 점퍼 1종	단순	02:00	03:05	65	53370900	의류	패션의류	59900	http://www.hnsmall.com/display/goods.do?goods_code=77512038
NS홈쇼핑	20260704	02:00	03:01	61	히트상품 앵콜방송 2부	히트상품	히트상품 앵콜방송 2부	복합	02:00	03:01	61	11688700		가구/인테리어	59800	https://m.nsmall.com/goods/35716194
공영쇼핑	20260704	02:00	03:00	60	정성곳간 버섯 파불고기 300g x 11팩	정성곳간	정성곳간 버섯 파불고기 300g x 11팩	단순	02:00	03:00	60	23552800	일반식품	식품	49900	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11932471
롯데원티비	20260704	02:00	02:39	39	[런칭가:77,900원]○26SS 썸머 수피마 쿨코튼100수 레이어드 티블라우스 4종 (베스트1+티블라우스3)	○26SS	[런칭가:77,900원]○26SS 썸머 수피마 쿨코튼100수 레이어드 티블라우스 4종 (베스트1+티블라우스3)	단순	02:00	02:39	39	4149600		패션의류	39900	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12895497
GS홈쇼핑	20260704	02:00	02:30	30	드루 26SS 이지스윙 셋업 3종SET 여성용	이지스	드루 26SS 이지스윙 셋업 3종SET 여성용	단순	02:00	02:30	30	13068000	리빙/주방	스포츠/레저	99000	https://www.gsshop.com/prd/prd.gs?prdid=1116218896&brddate=20260704020000&pgmID=9613&ordChannel=WE&tveshop=Y
CJ온스타일	20260704	02:10	02:40	30	26SS THE 1ST 램스킨 스니커즈	프라이(FRYE)	26SS THE 1ST 램스킨 스니커즈	단순	02:10	02:40	30	6086000	잡화/주얼리	패션잡화	179000	https://display.cjonstyle.com/p/item/2076951186?channelCode=30002002
현대홈쇼핑	20260704	02:10	03:00	50	올라카일리 26SS Japonica 나일론 웨더 롱점퍼 1종	올라카일리	올라카일리 26SS Japonica 나일론 웨더 롱점퍼 1종	단순	02:10	03:00	50	53303000	의류	패션의류	159000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2250460338&preview=true
GS홈쇼핑 마이샵	20260704	02:10	02:31	21	올레비다 AOP인증 프랑스 산도0.21 냉압착 엑스트라버진 올리브유(250ml*6병) 고함량 폴리페놀 올리브오일	올레비다	올레비다 AOP인증 프랑스 산도0.21 냉압착 엑스트라버진 올리브유(250ml*6병) 고함량 폴리페놀 올리브오일	단순	02:10	02:31	21	1018300		식품	59900	https://www.gsshop.com/prd/prd.gs?prdid=1103102021&brddate=20260704021000&pgmID=6997&ordChannel=WE&tveshop=Y
SK스토아	20260704	02:11	02:51	40	[거창한]거창 못난이 부사 사과 3kg+3kg(박스당 8~16과) | 원산지 : 상품정보 참조	거창	[거창한]거창 못난이 부사 사과 3kg+3kg(박스당 8~16과) | 원산지 : 상품정보 참조	단순	02:11	02:51	40	4804800	일반식품	식품	43900	https://www.skstoa.com/display/goods/65539421
CJ온스타일 플러스	20260704	02:15	02:45	30	코어 맥스 10박스(100회분)+보틀2개	코어	코어 맥스 10박스(100회분)+보틀2개	단순	02:15	02:45	30	3042000		식품	390000	https://display.cjonstyle.com/p/item/2084582286
현대홈쇼핑 플러스샵	20260704	02:20	03:00	40	[방송에서 3팩더]  지극진성 특 뼈없는갈비탕 800g X 13팩 (10팩 + 3팩)	지극진성	[방송에서 3팩더]  지극진성 특 뼈없는갈비탕 800g X 13팩 (10팩 + 3팩)	단순	02:20	03:00	40	8865200		식품	59900	https://www.hmall.com/md/pda/itemPtc?slitmCd=2249392718
롯데홈쇼핑	20260704	02:25	02:55	30	[홍진경 패키지] 탐즈 샴푸 500ml*6통+트리트먼트 500ml*1통+탐즈 샴푸 파우치 7ml*5매	탐즈	[홍진경 패키지] 탐즈 샴푸 500ml*6통+트리트먼트 500ml*1통+탐즈 샴푸 파우치 7ml*5매	단순	02:25	02:55	30	5150200	미용	화장품/미용	159000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12911870
GS홈쇼핑	20260704	02:30	03:00	30	SJ와니 꾸뛰르 레이스 스커트 1종 [런칭 가격 139,900원]	SJ와니	SJ와니 꾸뛰르 레이스 스커트 1종 [런칭 가격 139,900원]	단순	02:30	03:00	30	25827600	의류	패션의류	59900	https://www.gsshop.com/prd/prd.gs?prdid=1075154334&brddate=20260704023000&pgmID=9613&ordChannel=WE&tveshop=Y
GS홈쇼핑 마이샵	20260704	02:31	02:51	20	[살림백서] 대용량 디퓨저 500nl 4통 + 차량용 디퓨저 80ml 2통	대용량	[살림백서] 대용량 디퓨저 500nl 4통 + 차량용 디퓨저 80ml 2통	단순	02:31	02:51	20	3072300		가구/인테리어	39900	https://www.gsshop.com/prd/prd.gs?prdid=1097062513&brddate=20260710031200&pgmID=6742&ordChannel=WE&tveshop=Y
쇼핑엔티	20260704	02:31	03:31	60	26SS 샤론느 풍기인견 데일리 팬티 10종	풍기인견	26SS 샤론느 풍기인견 데일리 팬티 10종	단순	02:31	03:31	60	7537100	언더웨어	패션의류	49900	https://www.shoppingntmall.com/display/goods/28134110
KT알파쇼핑	20260704	02:37	03:38	61	스위스알파인클럽_자충매트	스위스알파인클럽	스위스알파인클럽_자충매트	단순	02:37	03:38	61	23650000	리빙/주방	가구/인테리어	218000	https://m.kshop.co.kr/display/product/10036231
신세계쇼핑	20260704	02:38	03:39	61	최현우패키지] 톤28 펩타시카 무농약 해남병풀 세럼 특대용량 60ml * 7병  체험분 3매	톤28	최현우패키지] 톤28 펩타시카 무농약 해남병풀 세럼 특대용량 60ml * 7병  체험분 3매	단순	02:38	03:39	61	12712000	미용	화장품/미용	168000	https://www.shinsegaetvshopping.com/display/detail/20072248
롯데원티비	20260704	02:39	03:11	32	[로라애슐리] 헤리티지 뉴클래식 에디션 60수 타올 10장 (엘더우드 블루 / 엘더우드 브라운 / 스트라이프 블루 / 스트라이프 브라운)	헤리티지	[로라애슐리] 헤리티지 뉴클래식 에디션 60수 타올 10장 (엘더우드 블루 / 엘더우드 브라운 / 스트라이프 블루 / 스트라이프 브라운)	단순	02:39	03:11	32	516000		생활/건강	258000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12877813
NS홈쇼핑 샵플러스	20260704	02:40	03:41	61	보람상조4	스마트299	보람상조4	단순	02:40	03:41	61	0		여가/생활편의	0	https://m.nsmall.com/goods/35670727
CJ온스타일	20260704	02:40	02:55	15	26SS 가든 아일렛자켓	지스튜디오	26SS 가든 아일렛자켓	단순	02:40	02:55	15	4045500	의류	패션의류	89900	https://display.cjonstyle.com/p/item/2076900100?channelCode=30002002
CJ온스타일 플러스	20260704	02:45	03:30	45	[최신상/2만원인하][U.S POLO ASSN.] 26SS 라이크라® 반팔 카라티 3종 남성	26SS	[최신상/2만원인하][U.S POLO ASSN.] 26SS 라이크라® 반팔 카라티 3종 남성	단순	02:45	03:30	45	10648700		패션의류	89000	https://display.cjonstyle.com/p/item/2079047994
GS홈쇼핑 마이샵	20260704	02:51	02:56	5	코어어센틱 26S/S 스트라이프 썸머 숄더백	코어어센틱	코어어센틱 26S/S 스트라이프 썸머 숄더백	단순	02:51	02:56	5	59900		패션잡화	59900	https://www.gsshop.com/prd/prd.gs?prdid=1123493832&brddate=20260706042800&pgmID=6736&ordChannel=WE&tveshop=Y
CJ온스타일	20260704	02:55	03:10	15	[최초가 139,000원] 26SS 클라시코 테일러드 자켓	보르고세시아	[최초가 139,000원] 26SS 클라시코 테일러드 자켓	단순	02:55	03:10	15	4078700	의류	패션의류	139000	https://display.cjonstyle.com/p/item/2077309698?channelCode=30002002
GS홈쇼핑 마이샵	20260704	02:56	03:01	5	쿼드쎄라 펜타 F1 패키지	쿼드쎄라	쿼드쎄라 펜타 F1 패키지	단순	02:56	03:01	5	0		디지털/가전	870000	https://www.gsshop.com/prd/prd.gs?prdid=1127765132&brddate=20260707020500&pgmID=6737&ordChannel=WE&tveshop=Y
GS홈쇼핑	20260704	03:00	03:30	30	SJ와니 26SS 스캘럽 아일렛 베스트 1종 [런칭 가격 79,900원]	SJ와니	SJ와니 26SS 스캘럽 아일렛 베스트 1종 [런칭 가격 79,900원]	단순	03:00	03:30	30	41947700	의류	패션의류	59900	https://www.gsshop.com/prd/prd.gs?prdid=1105255198&brddate=20260706071500&pgmID=13435&ordChannel=WE&tveshop=Y
현대홈쇼핑	20260704	03:00	03:50	50	PWX 바로인 X밴드 스니커즈	프로월드컵	PWX 바로인 X밴드 스니커즈	단순	03:00	03:50	50	37605000	잡화/주얼리	스포츠/레저	69000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2250264394&preview=true
현대홈쇼핑 플러스샵	20260704	03:00	03:20	20	[남궁민 모발콜라겐] 모발콜라겐 3270 6박스(28포X6박스)	모발콜라겐	[남궁민 모발콜라겐] 모발콜라겐 3270 6박스(28포X6박스)	단순	03:00	03:20	20	19680000		식품	195000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251628306
NS홈쇼핑	20260704	03:00	04:01	61	히트상품 앵콜방송3부	히트상품	히트상품 앵콜방송3부	복합	03:00	04:01	61	12060600		식품	49900	https://m.nsmall.com/goods/35325535
공영쇼핑	20260704	03:00	03:51	51	[횡성축협한우] 사골곰탕 10팩 (6kg)	횡성축협한우	[횡성축협한우] 사골곰탕 10팩 (6kg)	단순	03:00	03:51	51	11215800	일반식품	식품	29900	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11867090
GS홈쇼핑 마이샵	20260704	03:01	03:12	11	빌트모아 26SS 최신상 여성용 트레이닝 셋업 3종	빌트모아	빌트모아 26SS 최신상 여성용 트레이닝 셋업 3종	단순	03:01	03:12	11	1242000		스포츠/레저	69000	https://www.gsshop.com/prd/prd.gs?prdid=1128235292&brddate=20260705042800&pgmID=12502&ordChannel=WE&tveshop=Y
홈앤쇼핑	20260704	03:05	04:20	75	[올가힐링스][기본] 퍼퓸 바디미스트 3종 +최신상 바디미스트1종 더 (총 4종)	올가힐링스	[올가힐링스][기본] 퍼퓸 바디미스트 3종 +최신상 바디미스트1종 더 (총 4종)	단순	03:05	04:20	75	22667700	미용	화장품/미용	59900	http://www.hnsmall.com/display/goods.do?goods_code=65126146
롯데홈쇼핑	20260704	03:05	03:35	30	[상]프로폴리스 가글 오리지널 600ml 4개 + 유자 600ml 3개 + 벚꽃 600ml 1개 + 오리지널 150ml 4개 + 오리지널 600ml 1개(무료체험)	프로폴리스	[상]프로폴리스 가글 오리지널 600ml 4개 + 유자 600ml 3개 + 벚꽃 600ml 1개 + 오리지널 150ml 4개 + 오리지널 600ml 1개(무료체험)	단순	03:05	03:35	30	4483000		생활/건강	89000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12904220
CJ온스타일	20260704	03:10	03:25	15	[최초가69,900원] 프렌치 린넨 펄니트 3종	셀렙샵에디션	[최초가69,900원] 프렌치 린넨 펄니트 3종	단순	03:10	03:25	15	2123800	의류	패션의류	29900	https://display.cjonstyle.com/p/item/2052022735?channelCode=30002002
